GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
124	23	1	19,6	4312	0	0	62,4	51	59	60	49	43	57	75	38	7	1	45
84	19	1	20,7	431158	0	0	57,7	44	60	45	56	41	69	59	44	7	1	45
100	22	0	20,7	476029	0	0	54,5	48	52	60	43	39	58	60	52	7	1	37
109	13	0	20,3	449904	0	0	55,3	51	62	60	41	55	46	63	53	7	1	39
153	20	1	20,7	431158	0	0	58,9	58	48	32	59	56	58	69	49	1	0	3
110	28	1	21	449904	0	0	55,4	60,5	57,6	66,6	47	61,7	47,4	58,4	59	7	1	30
131	22	1	21,3	923910	0	1	59,9	66	64,5	63,7	54,3	85,1	50,6	60,9	46,2	7	1	41
104	21	0	20,5	456194	0	0	54,8	48	62	53	51	39	58	56	52	1	0	4
110	27	1	21	431158	1	0	58,1	58,6	55,8	53,9	63,7	56,8	62,1	55,6	62	7	1	35
126	17	1	21,6	431158	0	0	56	51	57	49	47	50	63	60	52	6	1	20
117	10	1	20,1	431158	0	0	55,2	55	47	40	55	43	62	60	41	1	0	0
104	17	1	24,2	393666	1	0	37,5	34	36	28	43	47	30	39	44	1	0	2
75	7	0	19,9	476029	0	0	53,8	48	49	49	49	41	57	59	38	1	0	0
153	15	1	20,5	4312	0	0	61,5	55	48	69	56	53	58	68	56	7	1	35
116	15	1	21,2	456194	0	0	53	28	50	45	49	39	54	59	44	7	1	43
103	15	1	20	431158	0	0	57,9	51	60	45	45	50	58	68	56	7	1	32
100	9	1	20,7	449904	0	0	56,1	55	62	17	51	45	54	69	55	7	1	48
76	14	1	20,5	449904	0	0	56,5	55	48	40	43	56	39	76	49	3	0	6
144	30	1	19,6	1285440	0	1	63,5	55	57	48	59	41	58	76	49	5	1	16
148	25	1	20,2	449904	0	0	59,5	48	53	53	56	61	63	63	47	7	1	42
118	18	1	20,7	431158	0	0	63,6	59	77	84	60	49	63	59	56	7	1	45
96	16	1	20,5	449904	0	0	59,2	55	49	45	60	41	57	68	34	4	0	14
119	20	1	19,8	449904	0	0	55,1	52,3	45,8	48,7	70	43,1	47,4	55,9	54,1	1	0	0
92	12	1	21	431158	0	0	54,2	58	50	49	56	52	46	59	50	1	0	3
128	26	1	20,4	431158	0	0	67,2	51	68	69	60	43	62	75	41	7	1	36
109	21	1	20,8	456194	0	0	53,1	51	44	60	49	47	46	59	47	2	0	4
105	20	1	20,9	449904	0	0	57,1	48	50	49	56	53	54	63	56	1	0	3
102	19	1	20,9	476029	0	0	53,8	63	40	41	49	43	57	63	47	1	0	2
71	10	0	23,2	436360	0	0	43,9	44,7	37,4	37,2	39,3	40,5	48,4	46,6	45,6	4	0	9
122	23	1	28,7	393666	0	0	47,2	49	46	42	42	41	54	49	50	5	1	26
104	16	1	26,4	412412	1	0	49,5	40,2	39,2	44,7	53,5	36,7	49,2	52,2	34,5	2	0	7
72	20	1	20,2	449904	0	0	48,1	51	43	48	47	43	50	49	37	7	1	31
126	27	0	20,9	431158	0	0	50	63	68	53	47	43	49	53	52	7	1	31
139	20	1	28,3	393666	0	0	44	51	46	46	45	48	54	37	49	3	0	13
99	14	1	21,7	431158	0	0	56,8	55	50	44	63	56	43	64	47	5	1	19
74	14	1	25,4	412412	0	0	44,4	40,9	31,9	32,2	41,5	40,9	37,7	53,2	47,2	1	0	0
88	17	0	27,1	412412	0	0	48,7	55,2	38,9	46,1	41,1	49,8	56,5	51,1	56	7	1	34
66	15	0	29,8	393666	0	0	43,6	36	46	45	46	41	49	39	46	7	1	34
136	29	0	29	412412	0	0	45,2	52	45	51	52	47	62	34	44	1	0	5
97	15	1	20,5	449904	1	0	44	58	37	33	41	43	45	48	38	7	1	33
95	22	1	21,7	431158	0	0	51,2	59	44	53	43	41	46	60	52	7	1	28
132	24	0	22,8	449904	0	0	45	49,1	47,7	37	48	44,7	48,4	43,8	44	3	0	11
103	17	1	22	449904	0	0	46,3	44,7	41,8	42,2	50,9	39,1	41,5	49,1	45,6	7	1	37
134	24	1	21,1	431158	0	0	55,5	66,8	64,5	48,7	57,4	49,7	59,4	55,9	54,6	7	1	37
80	16	1	20,6	4312	0	0	41,7	41	42	40	51	45	45	35	47	7	1	29
80	20	1	19,8	449904	0	0	51,4	45	44	49	49	43	58	52	47	7	1	43
86	10	1	23,4	4312	0	0	53,3	48	61	49	55	52	57	52	44	7	1	36
85	25	1	29,2	412412	0	0	41	42	43	41	30	42	50	42	39	4	0	8
104	16	1	20,9	476029	0	0	47,8	51	46	49	43	39	54	49	44	7	1	34
148	24	1	20,3	431158	1	0	57,8	58	48	37	60	41	54	68	53	7	1	38
130	27	0	22,2	449904	0	0	47	48	46	37	52	41	54	45	44	7	1	32
109	21	0	21,7	456194	0	0	52	66	45,8	51,9	32,1	21,3	62,2	63,5	63,9	4	0	9
74	14	1	25,4	449904	0	0	40,1	45,6	31,9	43,6	41,5	43,5	42,8	36,4	43,5	5	1	11
56	9	1	31,1	93730	0	1	43,4	46	39,5	36	44	36	41	48	43	6	1	26
84	12	0	26,9	1285440	0	1	49,7	32,6	44,4	40,4	41,4	65,6	57	48,7	43,2	7	1	32
80	13	0	30,3	456194	0	0	41,7	46	43	42	41	45	49	45	47	2	0	4
86	17	0	20,3	431158	0	0	49,5	51	51	84	51	43	41	46	52	2	0	7
137	18	1	20,4	431158	0	0	50,6	63	53	40	39	52	46	60	52	7	1	33
120	17	1	22,4	412412	0	0	50,7	47	43,9	39,5	50,6	49,6	41,5	58,9	45,8	1	0	4
111	24	1	20,9	449904	0	0	57	59	55	60	49	47	54	63	56	1	0	1
128	21	1	19,9	449904	0	0	47,2	55	52	58	52	75	63	77	56	1	0	4
84	19	1	20,4	431158	0	0	0	55	47	45	52	49	53	59	50	1	0	2
105	20	1	20,1	449904	0	0	58,8	51	52	59	59	49	63	60	58	1	0	1
87	20	1	21,1	449904	0	0	41,5	51	45	45	41	39	45	39	50	7	1	26
116	20	1	18,8	449904	0	0	49,3	45	48	49	37	43	43	59	41	7	1	25
131	25	1	21,7	449904	0	0	54	59	57	49	47	49	50	60	41	1	0	0
62	6	1	20,5	449904	0	0	45,1	45	37	48	51	36	41	46	52	1	0	0
131	20	1	25,1	393666	0	0	45,4	42,4	50	41,9	47,5	46	42,7	45	52,6	2	0	3
76	20	1	22,1	449904	0	0	41,4	38	36,5	42	42	40	46	45	43	7	1	26
126	25	0	19,8	431158	0	0	50,4	59	55	49	39	45	50	56	55	1	0	6
